;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;
Depth;LcC or Uch;Abies;Picea;Pinus;Pinus (white);Ephedra;Pseudotsuga;TCT;Juniperus/Cupressus;Tsuga mertensiana;Tsuga heterophylla;Acer;Acer negundo;Quercus;Q. chrysolepis/Q. vaccinifolia;Aesculus;Lithocarpus/Castanopsis;Fraxinus;Juglans;Garrya;Platanus;Fremontia;Rosaceae;Adenostoma;Cercocarpus;Rhamnaceae;Ceanothus;Cephalanthus;Sambucus;Shepherdia;Elaeagnus;Sanguisorba;Ribes;Purshia;Salix;Myrica;Corylus;Alnus;Artemisia;Ambrosia;Liguliflorae;Compositae HS;Compositae LS;Ericaceae;Linaceae;Cruciferae;Arceuthobium;Caryophyllaceae;Malvaceae;Liliaceae;Leguminosae;Onagraceae;Labiatae;Salvia;Eriogonum;Polygonum amphibium;Polygonum californica;Vitis;Rumex ;Plantago;Polemoniaceae;Navarettia;Ranunculaceae;Umbelliferae;Rubiaceae;Thalictrum;Rhus;Lonicera;Amaranthaceae;Sarcobatus;Poaceae;Cyperaceae;Typha latifolia;Typha/Sparganium;Potamogeton;Isoetes;Equisetum;Myriophyllum;Ruppia;Nuphar hydropotes;Nuphar;Brasenia;Menyanthes;Dryopteris;Polypodium;Pteridium;Botrychium;Athyrium;Polystichum;Selaginella;Trilete;Monolete;Colonial fungi;Coprophilous fungi;Unknown A;Unknown B;Unknown C;Unknown D;Unknown E;Unknown F;Indeterminate;Other unknowns;Zea;Lycopodium;APFAC;Total Pollen and Spores
18,99;LcC;1;1;100;1;0;0;26;7;1;1;1;0;113;3;0;3;8;0;0;0;0;1;0;51;1;0;0;0;0;0;0;0;0;8;2;0;36;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;4;9;3;0;0;3;0;0;0;0;0;0;0;1;0;4;0;0;0;0;3;0;4;12;0;0;0;0;0;0;15;14;425;151;2085;459
19,14;Uch;2;2;111;0;0;1;29;7;3;0;0;0;136;6;0;0;4;0;1;0;0;2;0;32;1;0;0;0;0;0;0;0;0;9;0;3;33;2;0;0;17;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;5;0;8;7;3;1;0;8;0;0;0;7;0;0;0;0;0;8;0;0;0;0;0;0;6;10;0;0;0;0;0;0;12;11;313;231;2085;495
19,31;Uch;0;3;103;0;0;0;21;13;3;0;0;0;162;0;0;0;8;0;0;0;0;2;0;49;0;0;0;0;0;0;0;0;0;16;0;4;21;3;0;0;12;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;5;0;4;13;0;0;0;7;0;0;0;14;0;0;0;4;0;11;1;0;0;0;0;0;7;5;0;0;0;0;0;0;12;13;294;225;2085;522
19,43;LcC;1;0;92;0;0;1;6;10;0;2;1;0;146;0;0;0;9;0;0;0;0;0;0;49;1;1;0;0;0;0;0;0;0;6;3;3;45;1;1;0;11;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;3;0;4;7;0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;4;4;0;0;0;0;0;0;0;0;462;208;2085;429
19,64;Uch;2;2;117;0;0;1;21;11;0;0;0;0;147;5;0;0;4;0;3;3;0;0;0;36;3;0;0;0;0;0;0;0;0;2;1;3;29;3;0;1;5;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;10;1;0;0;4;0;0;0;18;0;0;0;1;0;2;0;0;0;0;0;0;6;1;0;0;0;0;0;0;2;10;296;196;2085;464
19,81;Uch;3;3;107;0;0;6;32;7;0;0;2;0;149;4;0;0;5;0;0;0;0;2;0;30;0;0;0;0;0;0;0;0;0;2;1;1;28;1;0;0;17;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;9;5;0;0;8;0;0;0;21;0;0;0;2;0;4;0;0;0;2;1;0;7;3;0;0;0;0;0;0;4;7;355;172;2085;482
21,62;Uch;5;3;137;0;0;5;31;31;0;3;0;0;74;1;0;0;10;0;8;0;0;0;0;28;1;1;0;0;0;0;0;0;0;3;1;1;17;5;0;0;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;3;0;4;9;6;0;0;12;0;0;0;23;0;0;0;0;0;4;0;0;0;0;0;0;21;10;0;0;0;0;0;0;16;17;506;283;2085;514
21,94;LcC;4;1;124;0;0;5;37;42;2;1;2;0;106;10;0;1;23;1;2;0;0;0;0;40;1;0;0;0;0;0;0;0;0;4;0;1;17;4;0;0;18;0;0;0;1;4;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;12;2;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;7;7;0;0;0;0;0;0;14;9;542;263;2085;519
22.21 (maybe 22.12?);Uch;4;2;129;0;0;4;45;38;3;0;0;0;58;9;0;0;18;0;3;0;0;0;0;28;0;1;0;0;0;0;0;0;0;2;0;2;13;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;7;2;5;0;1;0;0;0;22;0;0;0;0;0;0;0;0;0;0;1;0;5;7;0;0;0;0;0;0;13;16;402;256;2085;461
22,29;Uch;6;4;168;0;0;4;32;34;2;1;0;0;90;6;0;1;23;0;3;0;0;1;0;29;0;1;0;0;0;0;0;0;0;2;2;2;18;3;0;0;17;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;2;0;0;4;0;1;0;13;0;0;0;2;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;7;15;469;253;2085;519
